Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
10.676,Forest Legacy Program,2009,Department of Agriculture,57400000.00,55285222.00,-2114778.00,-0.04
10.678,Forest Stewardship Program,2009,Department of Agriculture,27000000.00,8326569.00,-18673431.00,-0.69
10.681,Wood  Education and Resource  Center (WERC),2009,Department of Agriculture,1400000.00,1781041.00,381041.00,0.27
10.684,International Forestry Programs,2009,Department of Agriculture,4035519.00,4346975.00,311456.00,0.08
10.689,Community Forest and Open Space Conservation Program (CFP),2009,Department of Agriculture,0.00,,0.00,0.00
10.690,Lake Tahoe Erosion Control Grant Program,2009,Department of Agriculture,10000000.00,9836618.00,-163382.00,-0.02
10.695,Eastern Nevada Landscape Restoration Project (ENLRP),2009,Department of Agriculture,0.00,,0.00,0.00
10.759,Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH),2009,Department of Agriculture,5000000.00,,-5000000.00,-1.00
10.760,Water and Waste Disposal Systems for Rural Communities,2009,Department of Agriculture,236199229.00,,-236199229.00,-1.00
10.761,Technical Assistance and Training Grants,2009,Department of Agriculture,19532107.00,19532107.00,0.00,0.00
10.762,Solid Waste Management Grants,2009,Department of Agriculture,3465000.00,3408222.00,-56778.00,-0.02
10.763,Emergency Community Water Assistance Grants,2009,Department of Agriculture,4539600.00,4404798.00,-134802.00,-0.03
10.766,Community Facilities Loans and Grants,2009,Department of Agriculture,59065754.00,,-59065754.00,-1.00
10.769,Rural Business Enterprise Grants,2009,Department of Agriculture,40200000.00,44473349.00,4273349.00,0.11
10.770,Water and Waste Disposal Loans and Grants (Section 306C),2009,Department of Agriculture,39796144.00,39746144.00,-50000.00,0.00
10.773,Rural Business Opportunity Grants,2009,Department of Agriculture,2634600.00,5627905.00,2993305.00,1.14
10.780,Community Facilities Loans and Grants,2009,Department of Agriculture,31117651.00,,-31117651.00,-1.00
10.781,Water and Waste Disposal Systems for Rural Communities - ARRA,2009,Department of Agriculture,554556697.00,,-554556697.00,-1.00
10.783,Rural Business Enterprise Grants - ARRA,2009,Department of Agriculture,38227000.00,15314425.00,-22912575.00,-0.60
10.787,Broadband Initiatives Program,2009,Department of Agriculture,0.00,,0.00,0.00
10.855,Distance Learning and Telemedicine Loans and Grants,2009,Department of Agriculture,36287654.00,,-36287654.00,-1.00
10.857,State Bulk Fuel Revolving Fund Grants,2009,Department of Agriculture,0.00,,0.00,0.00
10.858,Denali Commmission Grants and Loans,2009,Department of Agriculture,8500000.00,8500000.00,0.00,0.00
10.859,Assistance to High Energy Cost Rural Communities,2009,Department of Agriculture,10874260.00,9988911.00,-885349.00,-0.08
10.861,Public Television Station Digital Transition Grant Program,2009,Department of Agriculture,5086460.00,5086460.00,0.00,0.00
10.862,Household Water Well System Grant Program,2009,Department of Agriculture,993000.00,993000.00,0.00,0.00
10.863,Community Connect Grant Program,2009,Department of Agriculture,13385526.00,13208039.00,-177487.00,-0.01
10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,2009,Department of Agriculture,496000.00,496000.00,0.00,0.00
10.904,Watershed Protection and Flood Prevention,2009,Department of Agriculture,49028015.00,32672413.00,-16355602.00,-0.33
10.916,Watershed Rehabilitation Program,2009,Department of Agriculture,25548064.00,28145969.00,2597905.00,0.10
10.923,Emergency Watershed Protection Program,2009,Department of Agriculture,279760331.00,174997055.00,-104763276.00,-0.37
10.961,Scientific Cooperation and Research,2009,Department of Agriculture,300000.00,,-300000.00,-1.00
11.010,Community Trade Adjustment Assistance ,2009,Department of Commerce,0.00,,0.00,0.00
11.011,Ocean Exploration,2009,Department of Commerce,0.00,,0.00,0.00
11.012,Integrated Ocean Observing System (IOOS),2009,Department of Commerce,0.00,,0.00,0.00
11.300,Investments for Public Works and Economic Development Facilities,2009,Department of Commerce,129280000.00,151619691.00,22339691.00,0.17
11.302,Economic Development_Support for Planning Organizations,2009,Department of Commerce,30920885.00,30931885.00,11000.00,0.00
11.303,Economic Development_Technical Assistance,2009,Department of Commerce,9666027.00,9676027.00,10000.00,0.00
11.307,Economic Adjustment Assistance,2009,Department of Commerce,185849918.00,389242018.00,203392100.00,1.09
11.312,Research and Evaluation Program,2009,Department of Commerce,30000.00,30000.00,0.00,0.00
11.313,Trade Adjustment Assistance for Firms,2009,Department of Commerce,15800000.00,13904051.00,-1895949.00,-0.12
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),2009,Department of Commerce,14435000.00,16511746.00,2076746.00,0.14
11.417,Sea Grant Support,2009,Department of Commerce,28000000.00,35616290.00,7616290.00,0.27
11.420,Coastal Zone Management Estuarine Research Reserves,2009,Department of Commerce,28542977.00,17537825.00,-11005152.00,-0.39
11.426,Financial Assistance for National Centers for Coastal Ocean Science,2009,Department of Commerce,3787710.00,6983714.00,3196004.00,0.84
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,2009,Department of Commerce,7891800.00,7012111.00,-879689.00,-0.11
11.429,Marine Sanctuary Program,2009,Department of Commerce,8551500.00,9495188.00,943688.00,0.11
11.430,Undersea Research,2009,Department of Commerce,8000000.00,14338863.00,6338863.00,0.79
11.431,Climate and Atmospheric Research,2009,Department of Commerce,35000000.00,59813496.00,24813496.00,0.71
11.432,Office of Oceanic and Atmospheric Research (OAR) Joint and Cooperative Institutes,2009,Department of Commerce,122536421.00,122536421.00,0.00,0.00
11.433,Marine Fisheries Initiative,2009,Department of Commerce,2200000.00,2074287.00,-125713.00,-0.06
11.434,Cooperative Fishery Statistics,2009,Department of Commerce,6600000.00,1738150.00,-4861850.00,-0.74
11.435,Southeast Area Monitoring and Assessment Program,2009,Department of Commerce,4000000.00,4241831.00,241831.00,0.06
11.436,Columbia River Fisheries Development Program,2009,Department of Commerce,14000000.00,14488628.00,488628.00,0.03
11.437,Pacific Fisheries Data Program,2009,Department of Commerce,0.00,19625968.00,19625968.00,
11.438,Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program,2009,Department of Commerce,80000000.00,82830089.00,2830089.00,0.04
11.439,Marine Mammal Data Program,2009,Department of Commerce,0.00,13991527.00,13991527.00,
11.440,"Environmental Sciences, Applications, Data, and Education",2009,Department of Commerce,23000000.00,22102326.00,-897674.00,-0.04
11.441,Regional Fishery Management Councils,2009,Department of Commerce,27000000.00,25202237.00,-1797763.00,-0.07
11.443,Short Term Climate Fluctuations,2009,Department of Commerce,0.00,,0.00,0.00
11.444,Hawaii Sustainable Fisheries Development (Aquaculture Program),2009,Department of Commerce,750000.00,730518.00,-19482.00,-0.03
11.445,Hawaii Stock Management Program,2009,Department of Commerce,0.00,,0.00,0.00
11.450,Automated Flood Warning Systems (AFWS),2009,Department of Commerce,0.00,,0.00,0.00
11.452,Unallied Industry Projects,2009,Department of Commerce,0.00,91058705.00,91058705.00,
11.455,Cooperative Science and Education Program,2009,Department of Commerce,0.00,806426.00,806426.00,
11.457,Chesapeake Bay Studies,2009,Department of Commerce,0.00,11073994.00,11073994.00,
11.459,Weather and Air Quality Research,2009,Department of Commerce,500000.00,693350.00,193350.00,0.39
11.460,Special Oceanic and Atmospheric Projects,2009,Department of Commerce,0.00,16961685.00,16961685.00,
11.462,Hydrologic Research,2009,Department of Commerce,1101599.00,940462.00,-161137.00,-0.15
11.463,Habitat Conservation,2009,Department of Commerce,218291552.00,183175250.00,-35116302.00,-0.16
11.467,Meteorologic and Hydrologic Modernization Development,2009,Department of Commerce,14939054.00,18188324.00,3249270.00,0.22
11.468,Applied Meteorological Research,2009,Department of Commerce,12478103.00,15750708.00,3272605.00,0.26
11.469,Congressionally Identified Awards and  Projects,2009,Department of Commerce,43951000.00,28189689.00,-15761311.00,-0.36
11.472,Unallied Science Program,2009,Department of Commerce,0.00,32230303.00,32230303.00,
11.474,Atlantic Coastal Fisheries Cooperative Management Act,2009,Department of Commerce,7195300.00,7632498.00,437198.00,0.06
11.478,Center for Sponsored Coastal Ocean Research_Coastal Ocean Program,2009,Department of Commerce,12000000.00,13481169.00,1481169.00,0.12
11.481,Educational Partnership Program,2009,Department of Commerce,14900000.00,12666197.00,-2233803.00,-0.15
11.550,Public Telecommunications Facilities Planning and Construction,2009,Department of Commerce,19004894.00,19811976.00,807082.00,0.04
11.553,Special Projects,2009,Department of Commerce,5589000.00,6893759.00,1304759.00,0.23
11.557,Broadband Technology Opportunities Program (BTOP),2009,Department of Commerce,0.00,,0.00,0.00
11.558,State Broadband Data and Development Grant Program,2009,Department of Commerce,325000.00,,-325000.00,-1.00
11.559,Low-Power Television and Translator Upgrade Program,2009,Department of Commerce,652000.00,,-652000.00,-1.00
11.609,Measurement and Engineering Research and Standards,2009,Department of Commerce,118048000.00,44543871.00,-73504129.00,-0.62
11.616,Technology Innovation Program (TIP) ,2009,Department of Commerce,10572000.00,10571488.00,-512.00,0.00
11.618,National Institute of Standards and Technology Construction Grant Program ,2009,Department of Commerce,90000000.00,79783116.00,-10216884.00,-0.11
12.117,"ARRA Cooperative Agreements, New Mexico",2009,Department of Defense,571610.00,,-571610.00,-1.00
12.122,"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota - ARRA",2009,Department of Defense,2129000.00,,-2129000.00,-1.00
12.400,"Military Construction, National Guard",2009,Department of Defense,134500000.00,350179484.00,215679484.00,1.60
12.556,Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools,2009,Department of Defense,41300000.00,,-41300000.00,-1.00
12.557,Invitational Grants for Military-Connected Schools,2009,Department of Defense,14500000.00,,-14500000.00,-1.00
12.599,Congressionally Directed Assistance,2009,Department of Defense,75000000.00,53168293.00,-21831707.00,-0.29
12.615,RESEARCH AND TECHNICAL ASSISTANCE,2009,Department of Defense,1735619.00,743050.00,-992569.00,-0.57
12.630,"Basic, Applied, and Advanced Research in Science and Engineering",2009,Department of Defense,35616000.00,156035870.00,120419870.00,3.38
12.631,"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",2009,Department of Defense,32625000.00,16396265.00,-16228735.00,-0.50
14.169,Housing Counseling Assistance Program,2009,Department of Housing and Urban Development,65000000.00,49850802.00,-15149198.00,-0.23
14.191,Multifamily Housing Service Coordinators,2009,Department of Housing and Urban Development,0.00,45796618.00,45796618.00,
14.225,Community Development Block Grants/Special Purpose Grants/Insular Areas,2009,Department of Housing and Urban Development,7000000.00,7074252.00,74252.00,0.01
14.227,Community Development Block Grants/Technical Assistance Program,2009,Department of Housing and Urban Development,5000000.00,2873739.00,-2126261.00,-0.43
14.235,Supportive Housing Program,2009,Department of Housing and Urban Development,1052265000.00,-40003.00,-1052305003.00,-1.00
14.238,Shelter Plus Care,2009,Department of Housing and Urban Development,432847000.00,405378030.00,-27468970.00,-0.06
14.246,Community Development Block Grants/Brownfields Economic Development Initiative,2009,Department of Housing and Urban Development,175311000.00,11848970.00,-163462030.00,-0.93
14.247,Self-Help Homeownership Opportunity Program,2009,Department of Housing and Urban Development,26500000.00,59999998.00,33499998.00,1.26
14.249,Section 8 Moderate Rehabilitation Single Room Occupancy,2009,Department of Housing and Urban Development,7463000.00,-13819890.00,-21282890.00,-2.85
14.250,Rural Housing and Economic Development,2009,Department of Housing and Urban Development,0.00,19800069.00,19800069.00,
14.251,"Economic Development Initiative-Special Project, Neighborhood Initiative and Miscellaneous Grants",2009,Department of Housing and Urban Development,19546000.00,132282058.00,112736058.00,5.77
14.252,Section 4 Capacity Building for Affordable Housing and Community Development Grants,2009,Department of Housing and Urban Development,34000000.00,,-34000000.00,-1.00
14.314,Assisted Living Conversion for Eligible Multifamily Housing Projects,2009,Department of Housing and Urban Development,0.00,8004909.00,8004909.00,
14.315,Emergency Capital Repair Grants for Multifamily Housing Projects Designated for Occupancy,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.316,Housing Counseling Training Program,2009,Department of Housing and Urban Development,5000000.00,,-5000000.00,-1.00
14.318,Assisted Housing Stability and Energy and Green Retrofit Investments Program (Recovery Act Funded),2009,Department of Housing and Urban Development,0.00,11750000.00,11750000.00,
14.401,Fair Housing Assistance Program_State and Local,2009,Department of Housing and Urban Development,21900131.00,25429852.00,3529721.00,0.16
14.408,Fair Housing Initiatives Program,2009,Department of Housing and Urban Development,26300000.00,,-26300000.00,-1.00
14.416,Educaction and Outreach Initiatives,2009,Department of Housing and Urban Development,3100000.00,,-3100000.00,-1.00
14.418,Private Enforcement Initiatives ,2009,Department of Housing and Urban Development,21100000.00,,-21100000.00,-1.00
14.419,Section 3 Technical Assistance,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.506,General Research and Technology Activity,2009,Department of Housing and Urban Development,32234761.00,13962246.00,-18272515.00,-0.57
14.514,Hispanic-Serving Institutions Assisting Communities,2009,Department of Housing and Urban Development,6000000.00,,-6000000.00,-1.00
14.515,Alaska Native/Native Hawaiian Institutions Assisting Communities,2009,Department of Housing and Urban Development,3000000.00,-2.00,-3000002.00,-1.00
14.516,Doctoral Dissertation Research Grants,2009,Department of Housing and Urban Development,200000.00,,-200000.00,-1.00
14.519,Tribal Colleges and Universities Program,2009,Department of Housing and Urban Development,5000000.00,3999243.00,-1000757.00,-0.20
14.520,Historically Black Colleges and Universities Program,2009,Department of Housing and Urban Development,9000000.00,9000000.00,0.00,0.00
14.523,Transformation Initiative Research Grants: Sustainable Community Research Grant Program,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.524,Transformation Initiative Research Grants: Natural Experiments,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.525,Transformation Initiative Research Grants: Demonstration and Related Small Grants,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.862,Indian Community Development Block Grant Program,2009,Department of Housing and Urban Development,62740000.00,60726085.00,-2013915.00,-0.03
14.866,Demolition and Revitalization of Severely Distressed Public Housing,2009,Department of Housing and Urban Development,117600000.00,2916821.00,-114683179.00,-0.98
14.870,Resident Opportunity and Supportive Services - Service Coordinators,2009,Department of Housing and Urban Development,28000000.00,39436662.00,11436662.00,0.41
14.873,Native Hawaiian Housing Block Grants,2009,Department of Housing and Urban Development,10267594.00,10249829.00,-17765.00,0.00
14.875,Public Housing Neighborhood Networks Grants,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.877,Public Housing Family Self-Sufficiency under Resident Opportunity and Supportive Services,2009,Department of Housing and Urban Development,12000000.00,,-12000000.00,-1.00
14.878,Affordable Housing Development in Main Street Rejuvenation Projects,2009,Department of Housing and Urban Development,4000000.00,,-4000000.00,-1.00
14.883,Native Hawaiian Housing Block Grants (Recovery Act Funded),2009,Department of Housing and Urban Development,10200000.00,10200000.00,0.00,0.00
14.882,Native American Housing Block Grants (Formula) Recovery Act Funded,2009,Department of Housing and Urban Development,253227695.00,252796041.00,-431654.00,0.00
14.886,Indian Community Development Block Grant Program  (Recovery Act Funded),2009,Department of Housing and Urban Development,9567413.00,8967413.00,-600000.00,-0.06
14.889,Choice Neighborhoods ,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.890,Capital Fund Education and Training Community Facilities,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
14.900,Lead-Based Paint Hazard Control in Privately-Owned Housing,2009,Department of Housing and Urban Development,69034591.00,-22975.00,-69057566.00,-1.00
14.905,Lead Hazard Reduction Demonstration Grant Program,2009,Department of Housing and Urban Development,48000000.00,116710488.00,68710488.00,1.43
14.913,Healthy Homes Production Grant Program,2009,Department of Housing and Urban Development,0.00,,0.00,0.00
15.027,Assistance to Tribally Controlled Community Colleges and Universities,2009,Department of the Interior,56712000.00,60769741.00,4057741.00,0.07
15.028,Tribally Controlled Community College Endowments,2009,Department of the Interior,107000.00,107293.00,293.00,0.00
15.043,Indian Child and Family Education,2009,Department of the Interior,6750000.00,5687500.00,-1062500.00,-0.16
15.046,Administrative Cost Grants for Indian Schools,2009,Department of the Interior,43373000.00,34153481.00,-9219519.00,-0.21
15.059,Indian Graduate Student Scholarships,2009,Department of the Interior,2164000.00,97300.00,-2066700.00,-0.96
15.114,Indian Education_Higher Education Grant Program,2009,Department of the Interior,27129000.00,-2500.00,-27131500.00,-1.00
15.141,Indian Housing Assistance,2009,Department of the Interior,6886232.00,307023.00,-6579209.00,-0.96
15.144,Indian Child Welfare Act_Title II Grants,2009,Department of the Interior,9427318.00,8074901.00,-1352417.00,-0.14
15.146,Ironworker Training Program,2009,Department of the Interior,400000.00,400000.00,0.00,0.00
15.147,Tribal Courts_Trust Reform Initiative,2009,Department of the Interior,14769.00,,-14769.00,-1.00
15.224,Cultural Resource Management,2009,Department of the Interior,9750000.00,3091441.00,-6658559.00,-0.68
15.225,Recreation Resource Management,2009,Department of the Interior,5950000.00,2909450.00,-3040550.00,-0.51
15.228,National Fire Plan - Wildland Urban Interface Community Fire Assistance,2009,Department of the Interior,1757000.00,1458506.00,-298494.00,-0.17
15.229,Wild Horse and Burro Resource Management,2009,Department of the Interior,5700000.00,4275309.00,-1424691.00,-0.25
15.230,Invasive and Noxious Plant Management,2009,Department of the Interior,2900000.00,,-2900000.00,-1.00
15.231,"Fish, Wildlife and Plant Conservation Resource Management",2009,Department of the Interior,3125000.00,18770346.00,15645346.00,5.01
15.232,Wildland Fire Research and Studies Program,2009,Department of the Interior,230000.00,-274235.00,-504235.00,-2.19
15.233,Forests and Woodlands Resource Management,2009,Department of the Interior,1000000.00,659502.00,-340498.00,-0.34
15.234,Secure Rural Schools and Community Self-Determination,2009,Department of the Interior,0.00,716877.00,716877.00,
15.235,Southern Nevada Public Land Management,2009,Department of the Interior,63182810.00,-11291052.00,-74473862.00,-1.18
15.236,Environmental Quality and Protection Resource Management,2009,Department of the Interior,8000000.00,4177123.00,-3822877.00,-0.48
15.237,Rangeland Resource Management,2009,Department of the Interior,922379.00,200389.00,-721990.00,-0.78
15.238,Challenge Cost Share,2009,Department of the Interior,2830705.00,1766846.00,-1063859.00,-0.38
15.239,Management Initiatives,2009,Department of the Interior,1600000.00,50576.00,-1549424.00,-0.97
15.240,Helium Resource Management,2009,Department of the Interior,6864000.00,,-6864000.00,-1.00
15.242,National Fire Plan - Rural Fire Assistance,2009,Department of the Interior,0.00,1267965.00,1267965.00,
15.250,Regulation of Surface Coal Mining and Surface Effects of Underground Coal Mining,2009,Department of the Interior,70323518.00,,-70323518.00,-1.00
15.255,Applied Science Program Cooperative Agreements Related to Coal Mining and Reclamation,2009,Department of the Interior,1400000.00,1247784.00,-152216.00,-0.11
15.407,Keweenaw National Historical Park (NHP) and Keweenaw NHP Advisory Commission Partner Enhancement Grants,2009,Department of the Interior,40480.00,,-40480.00,-1.00
15.422,Louisiana State University (LSU) Coastal Marine Institute  (CMI),2009,Department of the Interior,0.00,48531.00,48531.00,
15.423,Minerals Management Service (MMS) Environmental Studies Program (ESP),2009,Department of the Interior,1500000.00,1059200.00,-440800.00,-0.29
15.425,Offshore Research Technology Center (OTRC) Texas Engineering Experiment Station (TEES),2009,Department of the Interior,400000.00,,-400000.00,-1.00
15.427,Federal Oil and Gas Royalty Management,2009,Department of the Interior,10480000.00,9057395.00,-1422605.00,-0.14
15.428,Marine Gas Hydrate Research Activities,2009,Department of the Interior,0.00,,0.00,0.00
15.506,Water Desalination Research and Development Program,2009,Department of the Interior,1075000.00,-45011.00,-1120011.00,-1.04
15.507,Water 2025,2009,Department of the Interior,14475000.00,13067089.00,-1407911.00,-0.10
15.638,Tribal Landowner Incentive Program,2009,Department of the Interior,0.00,,0.00,0.00
15.508,Providing Water to At-Risk Natural Desert Terminal Lakes,2009,Department of the Interior,20000000.00,2502156.00,-17497844.00,-0.87
15.509,Colorado River Basin Salinity Control Program,2009,Department of the Interior,6900000.00,3492413.00,-3407587.00,-0.49
15.510,Colorado Ute Indian Water Rights Settlement Act,2009,Department of the Interior,47400000.00,,-47400000.00,-1.00
15.511,Cultural Resources Management,2009,Department of the Interior,289000.00,306553.00,17553.00,0.06
15.512,"Central Valley Project Improvement Act, Title XXXIV",2009,Department of the Interior,18000000.00,22528031.00,4528031.00,0.25
15.513,Dutch John Federal Property and Disposition  Assistance Act,2009,Department of the Interior,400000.00,,-400000.00,-1.00
15.514,Reclamation States Emergency Drought Relief,2009,Department of the Interior,500000.00,,-500000.00,-1.00
15.516,Fort Peck Reservation Rural Water System ,2009,Department of the Interior,0.00,2856000.00,2856000.00,
15.518,Garrison Diversion Unit,2009,Department of the Interior,23960000.00,77924023.00,53964023.00,2.25
15.520,Lewis and Clark Rural Water System ,2009,Department of the Interior,4850000.00,,-4850000.00,-1.00
15.521,Lower Rio Grande Valley Water Resources Conservation and Improvement,2009,Department of the Interior,50000.00,3677447.00,3627447.00,72.55
15.522,Mni Wiconi Rural Water Supply Project,2009,Department of the Interior,30650000.00,15951220.00,-14698780.00,-0.48
15.523,Perkins County Rural Water System,2009,Department of the Interior,0.00,7053900.00,7053900.00,
15.524,Recreation Resources Management,2009,Department of the Interior,4000000.00,2625360.00,-1374640.00,-0.34
15.525,Rocky Boy's/North Central Montana Regional Water System ,2009,Department of the Interior,0.00,,0.00,0.00
15.526,San Gabriel Basin Restoration Project,2009,Department of the Interior,0.00,3410000.00,3410000.00,
15.527,"San Luis Unit, Central Valley Project",2009,Department of the Interior,800000.00,233865.00,-566135.00,-0.71
15.528,St. Mary Storage Unit Facilities Rehabilitation Project,2009,Department of the Interior,0.00,,0.00,0.00
15.529,Upper Colorado and San Juan River Basins Endangered Fish Recovery Programs,2009,Department of the Interior,1900000.00,6777772.00,4877772.00,2.57
15.530,Water Conservation Field Services Program (WCFSP),2009,Department of the Interior,4594000.00,50000.00,-4544000.00,-0.99
15.531,Yakima River Basin Water Enhancement Project (YRBWEP),2009,Department of the Interior,8000000.00,25757307.00,17757307.00,2.22
15.532,"Central Valley Project, Trinity River Division, Trinity River  Fish and Wildlife Management",2009,Department of the Interior,1500000.00,961941.00,-538059.00,-0.36
15.533,California Water Security and Environmental Enhancement,2009,Department of the Interior,3500000.00,1683520.00,-1816480.00,-0.52
15.535,Upper Colorado River Basin Fish and Wildlife Mitigation Program.,2009,Department of the Interior,294000.00,90730000.00,90436000.00,307.61
15.615,Cooperative Endangered Species Conservation Fund,2009,Department of the Interior,75501000.00,9628381.00,-65872619.00,-0.87
15.616,Clean Vessel Act,2009,Department of the Interior,13630000.00,5667355.00,-7962645.00,-0.58
15.619,Rhinoceros and Tiger Conservation Fund,2009,Department of the Interior,890000.00,332985.00,-557015.00,-0.63
15.620,African Elephant Conservation Fund,2009,Department of the Interior,890000.00,,-890000.00,-1.00
15.621,Asian Elephant Conservation Fund,2009,Department of the Interior,890000.00,489878.00,-400122.00,-0.45
15.622,Sportfishing and Boating Safety Act,2009,Department of the Interior,17100000.00,8568162.00,-8531838.00,-0.50
15.628,Multistate Conservation Grant Program,2009,Department of the Interior,6000000.00,2968209.00,-3031791.00,-0.51
15.629,Great Apes Conservation Fund,2009,Department of the Interior,890000.00,1435457.00,545457.00,0.61
15.636,Alaska Subsistence Management,2009,Department of the Interior,5200000.00,2987856.00,-2212144.00,-0.43
15.639,Tribal Wildlife Grants Program,2009,Department of the Interior,6000000.00,,-6000000.00,-1.00
15.640,Wildlife Without Borders- Latin America and the Caribbean ,2009,Department of the Interior,532000.00,,-532000.00,-1.00
15.641,Wildlife Without Borders-Mexico ,2009,Department of the Interior,425000.00,71500.00,-353500.00,-0.83
15.642,Challenge Cost Share,2009,Department of the Interior,6400000.00,1530648.00,-4869352.00,-0.76
15.643,Alaska Migratory Bird Co-Management Council,2009,Department of the Interior,222600.00,141216.00,-81384.00,-0.37
15.645,Marine Turtle Conservation Fund,2009,Department of the Interior,216000.00,307894.00,91894.00,0.43
15.647,Migratory  Bird Conservation,2009,Department of the Interior,200000.00,859738.00,659738.00,3.30
15.649,Service Training and Technical Assistance (Generic Training),2009,Department of the Interior,150000.00,809797.00,659797.00,4.40
15.650,Research Grants (Generic),2009,Department of the Interior,50000.00,26998.00,-23002.00,-0.46
15.651,Wildlife Without Borders-Africa Program,2009,Department of the Interior,307000.00,190015.00,-116985.00,-0.38
15.653,National Outreach and Communication Program,2009,Department of the Interior,13000000.00,,-13000000.00,-1.00
15.655,"Migratory Bird Monitoring, Assessment and Conservation",2009,Department of the Interior,1908600.00,552301.00,-1356299.00,-0.71
15.656,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.",2009,Department of the Interior,13000000.00,4412054.00,-8587946.00,-0.66
15.807,Earthquake Hazards Reduction Program,2009,Department of the Interior,9800000.00,15661314.00,5861314.00,0.60
15.808,U.S. Geological Survey_ Research and Data Collection,2009,Department of the Interior,41000000.00,30952348.00,-10047652.00,-0.25
15.810,National Cooperative Geologic Mapping Program,2009,Department of the Interior,6990000.00,,-6990000.00,-1.00
15.811,Gap Analysis Program  ,2009,Department of the Interior,1500000.00,512539.00,-987461.00,-0.66
15.812,Cooperative Research Units Program ,2009,Department of the Interior,16000000.00,13960073.00,-2039927.00,-0.13
15.813,Cooperative Research Units Training Program,2009,Department of the Interior,150000.00,150000.00,0.00,0.00
15.814,National Geological and Geophysical Data Preservation Program,2009,Department of the Interior,500000.00,,-500000.00,-1.00
15.815,National Land Remote Sensing_Education Outreach and Research,2009,Department of the Interior,960000.00,,-960000.00,-1.00
15.875,"Economic, Social, and Political Development of the Territories",2009,Department of the Interior,209621000.00,282364559.00,72743559.00,0.35
15.916,"Outdoor Recreation_Acquisition, Development and Planning",2009,Department of the Interior,27160947.00,20576597.00,-6584350.00,-0.24
15.922,Native American Graves Protection and Repatriation Act,2009,Department of the Interior,2350000.00,,-2350000.00,-1.00
15.923,National Center for Preservation Technology and Training,2009,Department of the Interior,262500.00,135000.00,-127500.00,-0.49
15.926,American Battlefield Protection,2009,Department of the Interior,1360000.00,33000.00,-1327000.00,-0.98
15.928,Civil War Battlefield Land Acquisition Grants,2009,Department of the Interior,4000000.00,,-4000000.00,-1.00
15.929,Save America's Treasures,2009,Department of the Interior,20000000.00,999755.00,-19000245.00,-0.95
15.930,Chesapeake Bay Gateways Network,2009,Department of the Interior,600000.00,,-600000.00,-1.00
15.931,Conservation Activities by Youth Service Organizations,2009,Department of the Interior,11000000.00,6712058.00,-4287942.00,-0.39
15.932,Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).,2009,Department of the Interior,14250000.00,,-14250000.00,-1.00
15.933,Preservation of Japanese American Confinement Sites,2009,Department of the Interior,1000000.00,10000.00,-990000.00,-0.99
15.936,Shenandoah Valley Battlefields National Historic District Battlefield Acquisition and Protection,2009,Department of the Interior,0.00,,0.00,0.00
15.978,Upper Mississippi River System Long Term Resource Monitoring Program,2009,Department of the Interior,2429261.00,2429887.00,626.00,0.00
16.013,Violence Against Women Act Court Training and Improvement Grants,2009,Department of Justice,0.00,,0.00,0.00
16.014,"Engaging Men and Youth in Preventing Domestic Violence, Dating Violence, Sexual Assault, and Stalking",2009,Department of Justice,0.00,,0.00,0.00
16.015,Missing Alzheimer's Disease Patient Assistance Program,2009,Department of Justice,1703987.00,,-1703987.00,-1.00
16.016,Culturally and Linguistically Specific Services Program,2009,Department of Justice,12618455.00,12618455.00,0.00,0.00
16.018,Services to Advocate for and Respond to Youth,2009,Department of Justice,0.00,,0.00,0.00
16.019,Tribal Registry,2009,Department of Justice,35190000.00,,-35190000.00,-1.00
16.108,Americans With Disabilities Act Technical Assistance Program,2009,Department of Justice,18467000.00,,-18467000.00,-1.00
16.110,Education and Enforcement of the Antidiscrimination Provision of the Immigration and Nationality Act,2009,Department of Justice,5554604.00,45000.00,-5509604.00,-0.99
16.123,Community-Based Violence Prevention Program,2009,Department of Justice,0.00,,0.00,0.00
16.203,Comprehensive Approaches to Sex Offender Management Discretionary Grant (CASOM),2009,Department of Justice,3168530.00,2722522.00,-446008.00,-0.14
